Evaluating agent TDS for 2000000 success against MCTS (best is 1.0): 
Agent TD params: maxgames=2000000,featmode=0,alpha=0.1..0.001,epsilon=0.3..0.0,lambda=0.0,gamma=1.0,epochs=1
Agent NT params: 
Agent RB params: 
Agent Other params: 
training_matches,result,num_learn_actions,num_train_moves,train_time_ms,eval_time_ms
50000,-1,00,378938,0,78370,0
100000,-1,00,759170,0,155631,14841
150000,-0,60,1136822,0,231110,35203
200000,-0,60,1510173,0,305919,57424
250000,0,60,1906244,0,385621,78201
300000,0,20,2269069,0,459730,109114
350000,0,20,2642974,0,537935,142066
400000,-0,20,3000746,0,616691,175514
450000,-0,60,3429536,0,707031,195850
500000,-1,00,3822758,0,793799,221633
550000,-0,60,4184748,0,873477,239306
600000,-0,20,4550655,0,953214,256071
650000,-0,60,4918681,0,1031762,283179
700000,-1,00,5290596,0,1114233,309999
750000,0,20,5667273,0,1198016,329257
800000,-0,60,6049397,0,1281996,355026
850000,-1,00,6435739,0,1367799,375151
900000,-1,00,6826363,0,1452307,399452
950000,-0,20,7222128,0,1538455,422461
1000000,-0,60,7620809,0,1630507,450005
1050000,-0,60,8024721,0,1724151,475080
1100000,-0,20,8432069,0,1812092,497515
1150000,-1,00,8844250,0,1903361,518381
1200000,-1,00,9261863,0,1993728,537231
1250000,-1,00,9682869,0,2085299,556778
1300000,-1,00,10110205,0,2191220,574569
1350000,-1,00,10544859,0,2288555,595722
1400000,-1,00,11057010,0,2398236,611765
1450000,-1,00,11605923,0,2505352,630510
1500000,0,60,12170819,0,2607220,658129
1550000,-0,20,12565965,0,2688998,690651
1600000,-0,20,12956221,0,2779674,716432
1650000,1,00,13330960,0,2879273,752996
1700000,-0,20,13697765,0,3004055,797543
1750000,-0,20,14067662,0,3156320,847209
1800000,-1,00,14430565,0,3285068,889590
1850000,-1,00,14797537,0,3410681,924349
1900000,-1,00,15163253,0,3506189,951849
1950000,-1,00,15522799,0,3617462,982701
2000000,-1,00,15876173,0,3718434,1008921
